Deployment: TfGM - Drakewell - A set of traffic cameras deployed by TfGM.,,,,,,,,,,,,,,,,
Platform: Drakewell  1414 (Automatic Traffic Counter) ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
timestamp,Vehicle count  - Motorcycles southwest bound ,Vehicle count  - Motorcycles northeast bound ,Vehicle count  - Cars and Light Vans southwest bound ,Vehicle count  - Cars and Light Vans northeast bound ,Vehicle count  - Cars with Trailer southwest bound ,Vehicle count  - Cars with Trailer northeast bound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses southwest bound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses northeast bound ,Vehicle count  - Articulated HGVs southwest bound ,Vehicle count  - Articulated HGVs northeast bound ,Vehicle count  - Buses and Coaches southwest bound ,Vehicle count  - Buses and Coaches northeast bound ,Vehicle speed  - Vehicles Speed southwest bound (km/h),Vehicle speed  - Vehicles Speed northeast bound (km/h)
08/05/2022 23:00,5,8,457,408,0,0,7,6,0,0,3,0,47.6,46.83,,
09/05/2022 00:00,3,6,284,285,0,0,3,3,0,0,1,0,48.43,47.86,,
09/05/2022 01:00,2,2,188,158,0,0,3,4,0,0,0,0,49.66,47.63,,
09/05/2022 02:00,0,1,127,87,0,0,4,2,0,0,0,0,50.68,48.02,,
09/05/2022 03:00,1,3,113,80,0,0,3,1,0,0,0,0,51.83,49.76,,
09/05/2022 04:00,1,2,94,69,0,0,4,2,0,0,1,0,50.68,50.03,,
09/05/2022 05:00,0,9,98,99,0,0,8,3,1,0,2,0,51.29,50.28,,
09/05/2022 06:00,2,5,366,284,0,0,17,10,4,1,3,0,48.23,50.69,,
09/05/2022 07:00,4,11,868,610,0,0,28,27,0,2,4,0,43.96,47.31,,
09/05/2022 08:00,5,17,912,998,2,1,38,27,1,4,9,0,42.78,40.4,,
09/05/2022 09:00,3,21,795,855,1,0,49,35,4,0,5,0,41.52,42.08,,
09/05/2022 10:00,4,13,712,671,4,1,40,23,4,1,6,0,42.28,42.93,,
09/05/2022 11:00,5,10,648,698,0,0,48,23,7,3,5,0,43.25,43.68,,
09/05/2022 12:00,6,14,715,704,0,0,42,22,9,0,5,0,41.73,44.26,,
09/05/2022 13:00,6,10,801,713,2,0,40,21,4,3,5,0,42.39,43.08,,
09/05/2022 14:00,7,16,800,712,2,0,34,20,2,2,5,0,42.93,42.98,,
09/05/2022 15:00,13,10,884,837,1,0,28,17,7,4,6,0,40.5,39.83,,
09/05/2022 16:00,7,21,957,947,3,0,28,16,6,3,6,0,39.51,37.07,,
09/05/2022 17:00,17,16,1004,918,1,1,21,17,11,3,6,0,39.07,37.32,,
09/05/2022 18:00,15,22,881,797,1,0,16,9,3,3,5,0,42.95,43.07,,
09/05/2022 19:00,17,17,801,757,0,0,9,7,6,0,6,0,43.08,45.42,,
09/05/2022 20:00,9,10,640,619,0,0,6,8,1,1,5,0,44.51,45.98,,
09/05/2022 21:00,6,8,460,460,0,0,8,7,0,0,4,0,46.89,46.2,,
09/05/2022 22:00,2,7,471,407,1,0,7,10,2,0,4,0,46.55,46.42,,
09/05/2022 23:00,2,5,303,361,0,0,4,9,0,0,5,0,48.43,48.55,,
10/05/2022 00:00,1,4,219,243,0,0,4,4,0,0,2,0,49.93,50.64,,
10/05/2022 01:00,2,3,154,120,0,0,4,2,0,0,0,0,49.97,50.08,,
10/05/2022 02:00,1,3,111,81,1,0,3,0,0,0,0,0,51.06,47.86,,
10/05/2022 03:00,1,5,90,74,0,0,3,3,0,0,0,0,51.85,50.06,,
10/05/2022 04:00,0,2,84,66,0,0,4,4,1,0,0,0,50.87,50.44,,
10/05/2022 05:00,0,3,129,108,0,0,4,2,0,1,2,0,49.67,50.46,,
10/05/2022 06:00,3,7,357,275,0,0,13,9,1,0,3,0,48.98,50.47,,
10/05/2022 07:00,5,17,921,706,0,0,28,18,2,0,3,0,43.92,47.82,,
10/05/2022 08:00,8,26,856,1066,4,0,44,26,5,3,6,1,42.41,39.8,,
10/05/2022 09:00,6,19,817,954,1,0,46,20,8,1,4,0,41.67,41.89,,
10/05/2022 10:00,6,12,757,711,4,0,55,27,2,1,8,0,41.14,43.73,,
10/05/2022 11:00,4,13,727,745,1,0,46,29,0,1,6,0,42.91,42.04,,
10/05/2022 12:00,9,12,768,744,1,0,39,18,3,2,7,0,42.17,42.95,,
10/05/2022 13:00,3,21,801,795,2,0,35,26,0,2,6,0,41.79,41.34,,
10/05/2022 14:00,8,29,860,745,0,0,36,24,4,3,6,0,41.56,41.68,,
10/05/2022 15:00,8,20,909,826,0,0,30,21,10,6,4,0,39.19,37.28,,
10/05/2022 16:00,10,16,938,1003,4,0,31,24,7,10,6,0,37.2,35.32,,
10/05/2022 17:00,16,24,1109,961,0,0,40,20,9,4,9,0,36.73,37.39,,
10/05/2022 18:00,7,16,999,833,0,0,12,11,6,3,4,0,40.53,41.6,,
10/05/2022 19:00,17,15,810,724,1,0,9,12,5,1,5,0,44.1,46.28,,
10/05/2022 20:00,13,13,719,691,0,0,18,12,0,2,4,0,45.03,46.08,,
10/05/2022 21:00,7,10,582,490,0,0,7,4,1,0,4,0,45.71,45.96,,
10/05/2022 22:00,12,7,547,437,0,0,8,6,2,0,5,0,46.92,47.03,,
10/05/2022 23:00,2,10,369,360,0,0,3,5,1,1,4,0,48.76,47.97,,
11/05/2022 00:00,5,2,269,258,0,0,6,5,1,0,3,0,49.56,49.63,,
11/05/2022 01:00,3,6,194,170,1,0,3,3,0,0,0,0,50.18,48.74,,
11/05/2022 02:00,2,8,130,118,0,0,4,1,0,0,0,0,50.9,48.56,,
11/05/2022 03:00,0,2,118,81,0,0,2,1,1,1,0,0,51.83,49.08,,
11/05/2022 04:00,2,2,103,76,0,0,4,3,0,1,0,0,50.31,48.94,,
11/05/2022 05:00,0,4,125,107,0,0,8,3,1,0,2,0,50.32,51.38,,
11/05/2022 06:00,1,11,355,291,0,0,15,6,1,2,3,0,47.67,50.3,,
11/05/2022 07:00,2,7,859,660,1,0,24,22,1,0,4,0,44.18,46.97,,
11/05/2022 08:00,12,25,875,1103,2,1,35,24,4,9,11,0,42.68,36.66,,
11/05/2022 09:00,1,19,823,969,1,1,52,21,3,3,7,0,42.39,40.33,,
11/05/2022 10:00,2,18,764,756,1,0,54,29,5,2,7,0,42.69,42.53,,
11/05/2022 11:00,6,16,748,708,3,0,52,28,7,2,5,0,43.93,41.96,,
11/05/2022 12:00,4,16,814,761,0,0,52,24,6,3,4,0,40.71,42.39,,
11/05/2022 13:00,5,22,798,768,2,1,39,23,4,1,8,0,41.69,41.33,,
11/05/2022 14:00,3,29,874,756,1,0,34,13,4,1,5,0,41.97,41.78,,
11/05/2022 15:00,7,28,832,865,1,1,25,18,11,3,6,0,40.46,37.44,,
11/05/2022 16:00,17,25,1042,997,1,0,28,28,18,6,5,0,38.45,35.66,,
11/05/2022 17:00,12,17,1055,969,0,0,17,24,6,7,4,1,38.81,35.2,,
11/05/2022 18:00,8,19,1033,887,0,2,15,26,4,14,7,0,39.27,32.03,,
11/05/2022 19:00,11,9,974,806,2,0,22,10,5,0,7,0,41.52,44.53,,
11/05/2022 20:00,8,15,662,733,0,1,14,4,2,0,6,0,44.54,45.96,,
11/05/2022 21:00,17,9,558,504,0,0,7,9,0,1,6,0,47.08,45.84,,
11/05/2022 22:00,5,16,783,521,1,0,12,5,3,1,2,0,44.78,44.72,,
11/05/2022 23:00,3,8,452,408,0,0,8,6,0,0,6,0,48.42,47.87,,
12/05/2022 00:00,2,1,273,282,0,0,4,4,0,1,3,0,50.04,48.54,,
12/05/2022 01:00,0,3,232,192,0,0,4,3,1,0,0,0,49.96,48.22,,
12/05/2022 02:00,1,4,159,107,1,0,2,2,1,0,0,0,50.74,49.51,,
12/05/2022 03:00,0,5,131,90,0,0,2,3,0,1,0,0,51.97,48.33,,
12/05/2022 04:00,0,0,95,69,0,0,6,2,0,1,0,0,51.91,48.91,,
