Deployment: TfGM - Drakewell - A set of traffic cameras deployed by TfGM.,,,,,,,,
Platform: Drakewell  1421 (Automatic Traffic Counter) ,,,,,,,,
,,,,,,,,
timestamp,Vehicle count  - Motorcycles northbound ,Vehicle count  - Cars and Light Vans northbound ,Vehicle count  - Cars with Trailer northbound ,Vehicle count  - Rigids, Heavy Vans or Mini Buses northbound ,Vehicle count  - Articulated HGVs northbound ,Vehicle count  - Buses and Coaches northbound ,Vehicle speed  - Vehicles Speed northbound (km/h)
27/04/2022 21:30,0,0,0,0,0,0,0,
27/04/2022 22:00,0,0,0,0,0,0,0,
27/04/2022 22:30,0,0,0,0,0,0,0,
27/04/2022 23:00,0,0,0,0,0,0,0,
27/04/2022 23:30,0,0,0,0,0,0,0,
28/04/2022 00:00,0,0,0,0,0,0,0,
28/04/2022 00:30,0,0,0,0,0,0,0,
28/04/2022 01:00,0,0,0,0,0,0,0,
28/04/2022 01:30,0,0,0,0,0,0,0,
28/04/2022 02:00,0,0,0,0,0,0,0,
28/04/2022 02:30,0,0,0,0,0,0,0,
28/04/2022 03:00,0,0,0,0,0,0,0,
28/04/2022 03:30,0,0,0,0,0,0,0,
28/04/2022 04:00,0,0,0,0,0,0,0,
28/04/2022 04:30,0,0,0,0,0,0,0,
28/04/2022 05:00,0,0,0,0,0,0,0,
28/04/2022 05:30,0,0,0,0,0,0,0,
28/04/2022 06:00,0,0,0,0,0,0,0,
28/04/2022 06:30,0,0,0,0,0,0,0,
28/04/2022 07:00,0,0,0,0,0,0,0,
28/04/2022 07:30,1,4,0,1,1,0,3.57,
28/04/2022 08:00,3,2,0,0,0,0,2.45,
28/04/2022 08:30,2,0,0,0,0,0,2.68,
28/04/2022 09:00,0,0,0,1,0,0,0.67,
28/04/2022 09:30,0,0,0,0,1,0,0.67,
28/04/2022 10:00,0,0,0,0,0,0,0,
28/04/2022 10:30,1,9,0,0,0,0,3.15,
28/04/2022 11:00,0,0,0,0,1,0,2.02,
28/04/2022 11:30,2,7,0,0,0,0,3.57,
28/04/2022 12:00,0,5,0,1,0,0,2.45,
28/04/2022 12:30,0,2,0,0,1,0,2,
28/04/2022 13:00,0,0,0,0,0,0,0,
28/04/2022 13:30,0,0,0,0,0,0,0,
28/04/2022 14:00,2,1,0,1,0,0,2.67,
28/04/2022 14:30,0,0,0,0,0,0,0,
28/04/2022 15:00,3,7,0,1,1,0,5.68,
28/04/2022 15:30,0,0,0,0,0,0,0,
28/04/2022 16:00,1,0,0,1,0,0,0.67,
28/04/2022 16:30,0,0,0,0,0,0,0,
28/04/2022 17:00,0,0,0,0,0,0,0,
28/04/2022 17:30,0,0,0,0,0,0,0,
28/04/2022 18:00,0,0,0,0,0,0,0,
28/04/2022 18:30,0,0,0,0,0,0,0,
28/04/2022 19:00,0,0,0,0,0,0,0,
28/04/2022 19:30,0,0,0,0,0,0,0,
28/04/2022 20:00,0,0,0,0,0,0,0,
28/04/2022 20:30,0,0,0,0,0,0,0,
28/04/2022 21:00,0,0,0,0,0,0,0,
28/04/2022 21:30,0,0,0,0,0,0,0,
28/04/2022 22:00,0,0,0,0,0,0,0,
28/04/2022 22:30,0,0,0,0,0,0,0,
28/04/2022 23:00,0,0,0,0,0,0,0,
28/04/2022 23:30,0,0,0,0,0,0,0,
29/04/2022 00:00,0,0,0,0,0,0,0,
29/04/2022 00:30,0,0,0,0,0,0,0,
29/04/2022 01:00,0,0,0,0,0,0,0,
29/04/2022 01:30,0,0,0,0,0,0,0,
29/04/2022 02:00,0,0,0,0,0,0,0,
29/04/2022 02:30,0,0,0,0,0,0,0,
29/04/2022 03:00,0,0,0,0,0,0,0,
29/04/2022 03:30,0,0,0,0,0,0,0,
29/04/2022 04:00,0,0,0,0,0,0,0,
29/04/2022 04:30,0,0,0,0,0,0,0,
29/04/2022 05:00,0,0,0,0,0,0,0,
29/04/2022 05:30,0,0,0,0,0,0,0,
29/04/2022 06:00,0,0,0,0,0,0,0,
29/04/2022 06:30,0,0,0,0,0,0,0,
29/04/2022 07:00,0,0,0,0,0,0,0,
29/04/2022 07:30,0,0,0,0,0,0,0,
29/04/2022 08:00,2,3,0,1,1,0,2.67,
29/04/2022 08:30,0,2,0,0,0,0,2.68,
29/04/2022 09:00,0,1,0,1,0,0,2.68,
29/04/2022 09:30,0,0,0,1,0,0,0.67,
29/04/2022 10:00,0,0,0,0,0,0,0,
29/04/2022 10:30,1,0,0,0,0,0,0.67,
29/04/2022 11:00,0,1,0,0,0,0,0.67,
29/04/2022 11:30,1,2,0,0,0,0,0.67,
29/04/2022 12:00,0,2,0,0,1,0,3.35,
29/04/2022 12:30,1,7,0,1,1,0,4.68,
29/04/2022 13:00,0,0,0,0,0,0,0,
29/04/2022 13:30,0,0,0,0,0,0,0,
29/04/2022 14:00,0,0,0,0,0,0,0,
29/04/2022 14:30,0,0,0,0,0,0,0,
29/04/2022 15:00,0,0,0,0,0,0,0,
29/04/2022 15:30,0,0,0,0,0,0,0,
29/04/2022 16:00,0,0,0,0,0,0,0,
29/04/2022 16:30,0,0,0,0,0,0,0,
29/04/2022 17:00,0,0,0,0,0,0,0,
29/04/2022 17:30,0,0,0,0,0,0,0,
29/04/2022 18:00,0,0,0,0,0,0,0,
29/04/2022 18:30,0,0,0,0,0,0,0,
29/04/2022 19:00,0,0,0,0,0,0,0,
29/04/2022 19:30,0,0,0,0,0,0,0,
29/04/2022 20:00,0,0,0,0,0,0,0,
29/04/2022 20:30,0,0,0,0,0,0,0,
29/04/2022 21:00,0,0,0,0,0,0,0,
29/04/2022 21:30,0,0,0,0,0,0,0,
29/04/2022 22:00,0,0,0,0,0,0,0,
29/04/2022 22:30,0,0,0,0,0,0,0,
29/04/2022 23:00,0,0,0,0,0,0,0,
29/04/2022 23:30,0,0,0,0,0,0,0,
30/04/2022 00:00,0,0,0,0,0,0,0,
30/04/2022 00:30,0,0,0,0,0,0,0,
